,Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value
count,16122.0,16122.0,16122,16122,16122,16122,16122.0,16122,16122,16122,16122.0
unique,,,19,8,8,5,,114,45,36,
top,,,Fine Particulate Matter (PM2.5),Mean,ppb,UHF42,,Kingsbridge - Riverdale,2005-2007,01-01-2015,
freq,,,5076,12972,7896,6216,,240,480,906,
mean,339480.9555886366,427.1310631435306,,,,,613339.4064011909,,,,19.129162518473574
std,194099.80955111867,109.6576070035597,,,,,7916715.2413362805,,,,21.673789259668315
min,130355.0,365.0,,,,,1.0,,,,0.0
25%,172183.25,365.0,,,,,202.0,,,,8.46
50%,221882.5,375.0,,,,,303.0,,,,13.9
75%,547749.75,386.0,,,,,404.0,,,,25.47
max,671122.0,661.0,,,,,105106107.0,,,,424.7
